Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)					
milliseconds	Volts	Volts	Volts					
7524750	0.7452376259	4.8079314E-6	0.0105262029	-0.0013947971		0.0224472029	204	26.8285545324
7525000	0.7247776855	5.2563057E-6	0.0105244592	-0.0014035408		0.0224524592	205	26.091996678
7525250	0.7045919989	5.233887E-6	0.0105226931	-0.0014123069		0.0224576931	206	25.3653119604
7525500	0.6843484492	5.5118791E-6	0.010521205	-0.001420795		0.022463205	207	24.6365441712
7525750	0.6639362128	3.6421582E-6	0.0105178471	-0.0014311529		0.0224668471	208	23.9017036608
7526000	0.6442261971	4.1802074E-6	0.0105150273	-0.0014409727		0.0224710273	209	23.1921430956
7526250	0.6236781367	3.3686499E-6	0.010511396	-0.001451604		0.022474396	210	22.4524129212
7526500	0.6030143058	3.4134873E-6	0.0105078095	-0.0014621905		0.0224778095	211	21.7085150088
7526750	0.5826257447	6.0095746E-6	0.0105068191	-0.0014701809		0.0224838191	212	20.9745268092
7527000	0.5630820305	2.8171495E-6	0.0105026362	-0.0014813638		0.0224866362	213	20.270953098
7527251	0.5427474014	3.4583247E-6	0.0104990945	-0.0014919055		0.0224900945	214	19.5389064504
7527500	0.5224942667	3.5255809E-6	0.0104956201	-0.0015023799		0.0224936201	215	18.8097936012
7527750	0.5027996223	2.6377997E-6	0.0104912579	-0.0015137421		0.0224962579	216	18.1007864028
7528000	0.4824642865	3.6376745E-6	0.0104878956	-0.0015241044		0.0224998956	217	17.368714314
7528251	0.4616874678	3.785638E-6	0.0104846812	-0.0015343188		0.0225036812	218	16.6207488408
7528501	0.4412527487	3.4807435E-6	0.010481162	-0.001544838		0.022507162	219	15.8850989532
7528750	0.4208221815	3.0906578E-6	0.0104772526	-0.0015557474		0.0225102526	220	15.149598534
7529000	0.4005735522	4.4985531E-6	0.0104747512	-0.0015652488		0.0225147512	221	14.4206478792
7529250	0.3804092	3.646642E-6	0.0104713978	-0.0015756022		0.0225183978	222	13.6947312
7529500	0.3602523567	4.0053414E-6	0.0104684032	-0.0015855968		0.0225224032	223	12.9690848412
7529751	0.3402479896	3.0727228E-6	0.0104644759	-0.0015965241		0.0225254759	224	12.2489276256
7530000	0.3196216152	3.7273493E-6	0.0104612032	-0.0016067968		0.0225292032	225	11.5063781472
7530250	0.2991546958	5.3414969E-6	0.0104595447	-0.0016154553		0.0225345447	226	10.7695690488
7530501	0.2786414417	3.9784389E-6	0.0104565232	-0.0016254768		0.0225385232	227	10.0310919012
7530750	0.2583946234	4.3147197E-6	0.0104538379	-0.0016351621		0.0225428379	228	9.3022064424
7531001	0.2382884877	5.8122899E-6	0.0104526502	-0.0016433498		0.0225486502	229	8.5783855572
7531251	0.2179068172	5.076956E-6	0.0104507271	-0.0016522729		0.0225537271	230	7.8446454192
7531500	0.1980568256	4.13537E-6	0.0104478625	-0.0016621375		0.0225578625	231	7.1300457216
