Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)						
milliseconds	Volts	Volts	Volts						
5078750	0.680651786	5.5342978E-6	0.0114648697	0.0100021697				208	24.503464296
5079000	0.6600520905	5.6553589E-6	0.0114644251	0.0099956251				209	23.761875258
5079251	0.6398069948	5.059021E-6	0.0114633841	0.0099884841				210	23.0330518128
5079500	0.6190625971	5.8033224E-6	0.0114630874	0.0099820874				211	22.2862534956
5079750	0.5981167826	4.7227403E-6	0.0114617102	0.0099746102				212	21.5322041736
5080000	0.5773888163	5.2294033E-6	0.0114608396	0.0099676396				213	20.7859973868
5080250	0.5566965397	5.8750623E-6	0.0114606146	0.0099613146				214	20.0410754292
5080500	0.5362478627	5.1262772E-6	0.0114596409	0.0099542409				215	19.3049230572
5080750	0.5155336334	4.9514112E-6	0.0114584923	0.0099469923				216	18.5592108024
5081000	0.4946376872	5.6912288E-6	0.0114580835	0.0099404835				217	17.8069567392
5081250	0.4742826514	5.3549481E-6	0.0114573385	0.0099336385				218	17.0741754504
5081500	0.4537517733	5.4311717E-6	0.0114566697	0.0099268697				219	16.3350638388
5081750	0.4329542829	5.9871559E-6	0.0114565568	0.0099206568				220	15.5863541844
5082000	0.4122908937	5.2921757E-6	0.011455749	0.009913749				221	14.8424721732
5082250	0.3917948661	5.3953018E-6	0.0114550443	0.0099069443				222	14.1046151796
5082500	0.3710846563	5.3190781E-6	0.0114542634	0.0099000634				223	13.3590476268
5082750	0.3502605311	5.390818E-6	0.0114535542	0.0098932542				224	12.6093791196
5083000	0.3292479309	4.4223295E-6	0.0114518765	0.0098854765				225	11.8529255124
5083250	0.3084565801	6.4579489E-6	0.0114522345	0.0098797345				226	11.1044368836
5083500	0.2879105074	4.2878172E-6	0.0114504223	0.0098718223				227	10.3647782664
5083750	0.2673130205	5.1531796E-6	0.0114494755	0.0098647755				228	9.623268738
5084000	0.2465900896	5.5567165E-6	0.0114489322	0.0098581322				229	8.8772432256
5084250	0.2257379162	4.5344231E-6	0.0114473666	0.0098504666				230	8.1265649832
5084501	0.2046180262	4.8617363E-6	0.0114461283	0.0098431283				231	7.3662489432
5084750	0.1847872928	5.5432653E-6	0.0114455716	0.0098364716				232	6.6523425408
5085001	0.1639649344	4.274366E-6	0.011443746	0.009828546				233	5.9027376384
5085250	0.1434307878	5.1890496E-6	0.011442835	0.009821535				234	5.1635083608
5085500	0.1229084788	3.7946055E-6	0.0114405296	0.0098131296				235	4.4247052368
5085751	0.1021063504	4.8393176E-6	0.0114392689	0.0098057689				236	3.6758286144
5086000	0.0791574857	5.5791352E-6	0.0114387481	0.0097991481				237	2.8496694852
5086250	0.0603821973	4.5971955E-6	0.0114372453	0.0097915453				238	2.1737591028
5086500	0.0395952996	5.8122899E-6	0.0114369576	0.0097851576				239	1.4254307856
5086750	0.0194241871	5.8750623E-6	0.0114367326	0.0097788326				240	0.6992707356
5102000	-0.002615646	5.9064485E-6	0.0114365391	0.0097725391				241	-0.094163256
5102250	-0.0211378033	5.5029116E-6	0.011435942	0.009765842				242	-0.7609609188
5102500	-0.0415515439	5.6329402E-6	0.0114354749	0.0097592749				243	-1.4958555804
5102750	-0.0624544941	5.7540012E-6	0.0114351289	0.0097528289				244	-2.2483617876
5103000	-0.0835256619	4.8751876E-6	0.0114339041	0.0097455041				245	-3.0069238284
5103250	-0.104407434	4.6823866E-6	0.0114324865	0.0097379865				246	-3.758667624
5103500	-0.1288781858	3.9784389E-6	0.0114303649	0.0097297649				247	-4.6396146888
5103750	-0.1458065233	4.6958378E-6	0.0114289608	0.0097222608				248	-5.2490348388
5104000	-0.1662861398	4.5792605E-6	0.01142744	0.00971464				249	-5.9863010328
5104250	-0.1865347464	4.3819758E-6	0.011425722	0.009706822				250	-6.7152508704
5104500	-0.2072730674	4.8976063E-6	0.0114245196	0.0096995196				251	-7.4618304264
5104750	-0.2281843145	4.1084675E-6	0.0114225281	0.0096914281				252	-8.214635322
5105000	-0.2491382741	4.1936586E-6	0.0114206217	0.0096834217				253	-8.9689778676
5105250	-0.2697681573	3.6600932E-6	0.0114181818	0.0096748818				254	-9.7116536628
